Elapsed Time (ms), Alphabet, Pitch, Yaw, Roll,attentive
236553, L,351.1781,279.7161,342.5866,0
236576, L,351.1883,279.6248,342.6108,0
236593, L,351.2283,279.5439,342.678,0
236609, L,351.2392,279.4666,342.6869,0
236623, L,351.2123,279.3488,342.719,0
236637, L,351.2596,279.2982,342.7156,0
236659, L,351.3618,279.217,342.6901,0
236676, L,351.5121,279.1559,342.6669,0
236692, L,351.7093,279.1047,342.6509,0
236706, L,351.8723,279.0678,342.6187,0
236720, L,352.0385,278.9975,342.5786,0
236743, L,352.0824,278.9488,342.6172,0
236759, L,352.1331,278.9202,342.5979,0
236777, L,352.2433,278.8617,342.5369,0
236790, L,352.3263,278.7782,342.5054,0
236804, L,352.4623,278.635,342.454,0
236826, L,352.4946,278.5236,342.3833,0
236842, L,352.4804,278.4439,342.3185,0
236859, L,352.4667,278.3771,342.2613,0
236874, L,352.4803,278.3002,342.183,0
236887, L,352.5472,278.1566,342.0858,0
236909, L,352.6523,278.0878,342.0553,0
236925, L,352.6681,278.0283,342.0476,0
236942, L,352.6974,277.9652,342.0796,0
236957, Y,352.6622,277.8665,342.1577,0
236971, Y,352.6988,277.6574,342.2411,0
236993, Y,352.752,277.4982,342.3321,0
237010, Y,352.8348,277.3356,342.3262,0
237026, Y,352.9224,277.1525,342.3387,0
237041, Y,353.0061,277.0251,342.3075,0
237054, Y,353.1824,276.76,342.2812,0
237075, Y,353.2689,276.7091,342.235,0
237092, Y,353.3545,276.6673,342.1763,0
237110, Y,353.4241,276.6307,342.1651,0
237124, Y,353.5617,276.5974,342.1306,0
237138, Y,353.7517,276.5043,342.0469,0
237159, Y,353.8489,276.4532,341.9727,0
237177, Y,353.8981,276.4312,341.9071,0
237192, Y,353.9214,276.3976,341.8717,0
237208, Y,354.0054,276.3141,341.8015,0
237222, Y,354.1203,276.1329,341.7371,0
237236, Y,354.1275,275.9755,341.7208,0
237260, Y,354.1398,275.8084,341.6712,0
237276, Y,354.1369,275.6925,341.6183,0
237291, Y,354.1413,275.5918,341.602,0
237305, Y,354.1678,275.3969,341.5821,0
237319, Y,354.1922,275.3073,341.6071,0
237342, Y,354.213,275.1836,341.6708,0
237359, Y,354.2186,275.0349,341.6651,0
237375, Y,354.1998,274.862,341.6857,0
237389, Y,354.1686,274.5462,341.6395,0
237403, Y,354.1147,274.3081,341.6246,0
237426, Y,353.9537,274.0202,341.6347,0
237442, Y,353.8022,273.7488,341.6855,0
237459, Y,353.6503,273.4406,341.7684,0
237473, Y,353.4365,272.8562,341.8478,0
237486, Y,353.3238,272.4693,341.9096,0
237509, Y,353.2872,272.0074,342.0254,0
237526, Y,353.2326,271.5873,342.1363,0
237542, Y,353.1242,271.1886,342.2321,0
237556, Y,352.9197,270.4711,342.4399,0
237570, Y,352.8258,270.0927,342.5856,0
237593, Y,352.779,269.6864,342.7082,0
237609, Y,352.7584,269.2409,342.8012,0
237626, Y,352.7282,268.8094,342.9043,0
237639, Y,352.6855,268.4188,342.9996,0
237653, Y,352.5438,267.6267,343.226,0
237676, Y,352.4629,267.265,343.4079,0
237692, Y,352.3524,266.8745,343.5386,0
237709, Y,352.2827,266.4742,343.636,0
237722, Y,352.2073,266.0915,343.7699,0
237736, Y,352.0761,265.3422,344.0447,0
237759, Y,352.0043,265.0137,344.1777,0
237776, Y,351.9537,264.6744,344.3182,0
237792, Y,351.8938,264.3438,344.4621,0
237806, Y,351.8318,264.0688,344.5493,0
237820, Y,351.733,263.4694,344.7602,0
237843, Y,351.6706,263.2814,344.8266,0
237860, Y,351.6385,263.0351,344.8971,0
237876, Y,351.6516,262.7592,344.9529,0
237889, Y,351.6528,262.5089,345.002,0
237903, Y,351.6398,261.9052,345.1254,0
237926, Y,351.6795,261.5834,345.0991,0
237943, Y,351.7077,261.2375,345.1647,0
237960, Y,351.7371,260.8535,345.1651,0
237973, Y,351.7646,260.4576,345.1753,0
